<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;;;;;;
SPFB.RTS-12.18;1;12.09.2018;10:01;104 910  ;105 080  ;104 750  ;104 840  ;174;;;OPEN;MAX;MIN;CLOSE
SPFB.RTS-12.18;1;12.09.2018;10:02;104 750  ;104 800  ;104 750  ;104 760  ;24;;OPEN S;104 910,00 ?;106 500,00 ?;104 750,00 ?;105 970,00 ?
SPFB.RTS-12.18;1;12.09.2018;10:03;104 840  ;104 930  ;104 840  ;104 890  ;42;;HIGH S;105 080,00 ?;106 550,00 ?;104 800,00 ?;105 970,00 ?
SPFB.RTS-12.18;1;12.09.2018;10:04;104 860  ;104 870  ;104 800  ;104 800  ;33;;LOW S;104 750,00 ?;106 450,00 ?;104 750,00 ?;105 970,00 ?
SPFB.RTS-12.18;1;12.09.2018;10:05;104 830  ;104 860  ;104 820  ;104 860  ;33;;CLOSE S;104 840,00 ?;106 480,00 ?;104 760,00 ?;105 970,00 ?
SPFB.RTS-12.18;1;12.09.2018;10:06;104 880  ;104 880  ;104 760  ;104 760  ;19;;OPEN O;113 030,00 ?;115 270,00 ?;113 030,00 ?;115 120,00 ?
SPFB.RTS-12.18;1;12.09.2018;10:07;104 760  ;104 800  ;104 760  ;104 790  ;14;;OPEN O;114 060,00 ?;115 330,00 ?;113 490,00 ?;115 160,00 ?
SPFB.RTS-12.18;1;12.09.2018;10:08;104 830  ;104 890  ;104 830  ;104 890  ;57;;HIGH O;113 030,00 ?;115 250,00 ?;113 030,00 ?;115 080,00 ?
SPFB.RTS-12.18;1;12.09.2018;10:09;104 850  ;104 850  ;104 850  ;104 850  ;1;;LOW O;113 820,00 ?;115 280,00 ?;113 460,00 ?;115 160,00 ?
SPFB.RTS-12.18;1;12.09.2018;10:10;104 880  ;104 890  ;104 800  ;104 820  ;119;;OPEN N;111 190,00 ?;112 700,00 ?;110 500,00 ?;110 520,00 ?
SPFB.RTS-12.18;1;12.09.2018;10:11;104 870  ;104 880  ;104 870  ;104 880  ;5;;OPEN N;112 360,00 ?;112 730,00 ?;110 520,00 ?;110 520,00 ?
SPFB.RTS-12.18;1;12.09.2018;10:12;104 890  ;104 890  ;104 890  ;104 890  ;141;;HIGH N;111 190,00 ?;112 660,00 ?;110 310,00 ?;110 310,00 ?
SPFB.RTS-12.18;1;12.09.2018;10:13;104 880  ;104 900  ;104 880  ;104 900  ;12;;LOW N;112 330,00 ?;112 700,00 ?;110 340,00 ?;110 340,00 ?
SPFB.RTS-12.18;1;12.09.2018;10:14;104 950  ;105 050  ;104 950  ;105 030  ;69;;OPEN D;112 800,00 ?;113 300,00 ?;111 850,00 ?;112 190,00 ?
SPFB.RTS-12.18;1;12.09.2018;10:15;105 030  ;105 030  ;105 030  ;105 030  ;3;;OPEN D;113 480,00 ?;113 480,00 ?;111 880,00 ?;112 210,00 ?
SPFB.RTS-12.18;1;12.09.2018;10:16;105 050  ;105 140  ;105 050  ;105 120  ;26;;HIGH D;112 800,00 ?;113 230,00 ?;111 800,00 ?;112 150,00 ?
SPFB.RTS-12.18;1;12.09.2018;10:17;105 100  ;105 260  ;105 100  ;105 260  ;42;;LOW D;113 220,00 ?;113 300,00 ?;111 860,00 ?;112 190,00 ?
SPFB.RTS-12.18;1;12.09.2018;10:18;105 280  ;105 290  ;105 230  ;105 290  ;72;;;;;;
SPFB.RTS-12.18;1;12.09.2018;10:19;105 300  ;105 350  ;105 300  ;105 310  ;28;;;;;;
SPFB.RTS-12.18;1;12.09.2018;10:20;105 280  ;105 340  ;105 280  ;105 340  ;3;;;;;;
SPFB.RTS-12.18;1;12.09.2018;10:21;105 330  ;105 340  ;105 290  ;105 320  ;13;;;;;;
SPFB.RTS-12.18;1;12.09.2018;10:22;105 260  ;105 270  ;105 240  ;105 240  ;7;;;;;;
SPFB.RTS-12.18;1;12.09.2018;10:23;105 250  ;105 270  ;105 230  ;105 230  ;25;;;;;;
SPFB.RTS-12.18;1;12.09.2018;10:24;105 220  ;105 240  ;105 220  ;105 220  ;12;;;;;;
SPFB.RTS-12.18;1;12.09.2018;10:25;105 200  ;105 200  ;105 180  ;105 180  ;3;;;;;;
SPFB.RTS-12.18;1;12.09.2018;10:26;105 250  ;105 270  ;105 240  ;105 270  ;5;;;;;;
SPFB.RTS-12.18;1;12.09.2018;10:27;105 270  ;105 270  ;105 200  ;105 210  ;5;;;;;;
SPFB.RTS-12.18;1;12.09.2018;10:28;105 220  ;105 220  ;105 170  ;105 170  ;16;;;;;;
SPFB.RTS-12.18;1;12.09.2018;10:29;105 190  ;105 210  ;105 180  ;105 210  ;5;;;;;;
SPFB.RTS-12.18;1;12.09.2018;10:30;105 220  ;105 240  ;105 220  ;105 240  ;6;;;;;;
SPFB.RTS-12.18;1;12.09.2018;10:31;105 280  ;105 300  ;105 270  ;105 270  ;14;;;;;;
SPFB.RTS-12.18;1;12.09.2018;10:32;105 270  ;105 270  ;105 170  ;105 220  ;12;;;;;;
SPFB.RTS-12.18;1;12.09.2018;10:33;105 240  ;105 240  ;105 150  ;105 150  ;26;;;;;;
SPFB.RTS-12.18;1;12.09.2018;10:34;105 150  ;105 180  ;105 150  ;105 160  ;23;;;;;;
SPFB.RTS-12.18;1;12.09.2018;10:35;105 160  ;105 160  ;105 160  ;105 160  ;1;;;;;;
SPFB.RTS-12.18;1;12.09.2018;10:36;105 200  ;105 200  ;105 200  ;105 200  ;30;;;;;;
SPFB.RTS-12.18;1;12.09.2018;10:37;105 190  ;105 190  ;105 120  ;105 120  ;34;;;;;;
SPFB.RTS-12.18;1;12.09.2018;10:38;105 140  ;105 150  ;105 130  ;105 140  ;32;;;;;;
SPFB.RTS-12.18;1;12.09.2018;10:39;105 180  ;105 190  ;105 170  ;105 190  ;6;;;;;;
SPFB.RTS-12.18;1;12.09.2018;10:40;105 180  ;105 180  ;105 160  ;105 160  ;27;;;;;;
SPFB.RTS-12.18;1;12.09.2018;10:41;105 190  ;105 290  ;105 190  ;105 290  ;34;;;;;;
SPFB.RTS-12.18;1;12.09.2018;10:42;105 300  ;105 300  ;105 230  ;105 230  ;3;;;;;;
SPFB.RTS-12.18;1;12.09.2018;10:43;105 230  ;105 230  ;105 230  ;105 230  ;1;;;;;;
SPFB.RTS-12.18;1;12.09.2018;10:44;105 230  ;105 230  ;105 190  ;105 190  ;2;;;;;;
SPFB.RTS-12.18;1;12.09.2018;10:45;105 190  ;105 190  ;105 190  ;105 190  ;3;;;;;;
SPFB.RTS-12.18;1;12.09.2018;10:46;105 210  ;105 240  ;105 210  ;105 240  ;54;;;;;;
SPFB.RTS-12.18;1;12.09.2018;10:47;105 260  ;105 260  ;105 240  ;105 240  ;10;;;;;;
SPFB.RTS-12.18;1;12.09.2018;10:48;105 270  ;105 340  ;105 270  ;105 340  ;61;;;;;;
SPFB.RTS-12.18;1;12.09.2018;10:49;105 350  ;105 390  ;105 330  ;105 330  ;50;;;;;;
SPFB.RTS-12.18;1;12.09.2018;10:50;105 290  ;105 290  ;105 270  ;105 270  ;46;;;;;;
SPFB.RTS-12.18;1;12.09.2018;10:51;105 270  ;105 280  ;105 260  ;105 260  ;6;;;;;;
SPFB.RTS-12.18;1;12.09.2018;10:52;105 300  ;105 300  ;105 280  ;105 280  ;2;;;;;;
SPFB.RTS-12.18;1;12.09.2018;10:53;105 300  ;105 300  ;105 300  ;105 300  ;1;;;;;;
SPFB.RTS-12.18;1;12.09.2018;10:54;105 290  ;105 290  ;105 290  ;105 290  ;3;;;;;;
SPFB.RTS-12.18;1;12.09.2018;10:55;105 320  ;105 340  ;105 260  ;105 260  ;33;;;;;;
SPFB.RTS-12.18;1;12.09.2018;10:56;105 240  ;105 240  ;105 240  ;105 240  ;18;;;;;;
SPFB.RTS-12.18;1;12.09.2018;10:57;105 240  ;105 280  ;105 240  ;105 280  ;4;;;;;;
SPFB.RTS-12.18;1;12.09.2018;10:58;105 240  ;105 240  ;105 220  ;105 220  ;11;;;;;;
SPFB.RTS-12.18;1;12.09.2018;10:59;105 280  ;105 290  ;105 280  ;105 290  ;4;;;;;;
SPFB.RTS-12.18;1;12.09.2018;11:00;105 260  ;105 330  ;105 260  ;105 280  ;33;;;;;;
SPFB.RTS-12.18;1;12.09.2018;11:01;105 270  ;105 300  ;105 270  ;105 300  ;2;;;;;;
SPFB.RTS-12.18;1;12.09.2018;11:02;105 300  ;105 300  ;105 240  ;105 240  ;95;;;;;;
SPFB.RTS-12.18;1;12.09.2018;11:03;105 240  ;105 270  ;105 240  ;105 240  ;15;;;;;;
SPFB.RTS-12.18;1;12.09.2018;11:04;105 280  ;105 280  ;105 270  ;105 270  ;8;;;;;;
